Date,Amount,Type,Merchant,Category,Method
"2026/05/12, 19:36:51",$14.15,TRANSACTION,FRISBY I 30,"Eating Places, Restaurants",Contactless
"2026/05/11, 16:50:10",$68.17,TRANSACTION,AMAZON.COM*RF9TA7OR3,Book Stores,KeyedIn
"2026/05/11, 13:28:50",$42.79,TRANSACTION,AMAZON MKTPL*BF5W53TL1,Book Stores,KeyedIn
"2026/05/11, 13:28:45",$90.32,TRANSACTION,AMAZON MKTPL*BF3L16TL1,Book Stores,KeyedIn
"2026/05/11, 12:47:33","-$5,000.00",PAYMENT,Payment,N/A,N/A
"2026/05/09, 13:00:53",$85.60,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/05/09, 03:23:59",$13.80,TRANSACTION,AMAZON MKTPL*BV4A51RA1,Book Stores,KeyedIn
"2026/05/09, 03:23:54",$52.56,TRANSACTION,AMAZON MKTPL*BF7FM7OO1,Book Stores,KeyedIn
"2026/05/09, 00:26:21",$83.46,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/05/08, 18:13:43",$57.78,TRANSACTION,SP ALO-YOGA,Sports and Riding Apparel Stores,Online
"2026/05/07, 04:53:06",$63.62,TRANSACTION,AMAZON.COM*BF5DC2XJ2,Book Stores,KeyedIn
"2026/05/06, 23:15:47",$103.21,TRANSACTION,IKEA ECOMMERCE,Department Stores,Online
"2026/05/06, 20:37:38",$742.47,TRANSACTION,SP KARL LAGERFELD,"Men’s, Women’s Clothing Stores",Online
"2026/05/06, 18:59:17",$88.82,TRANSACTION,"SHEIN US SERVICES, LLC._",Family Clothing Stores,Online
"2026/05/06, 18:53:56",$43.58,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/05/05, 22:33:46",$361.12,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/05/05, 20:27:02",$20.08,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/05/05, 20:25:44",$37.40,TRANSACTION,SP SHOPSIMON,Miscellaneous General Merchandise,Online
"2026/05/05, 20:22:12",$20.08,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/05/05, 20:19:40",$58.74,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/05/05, 18:51:44",$57.78,TRANSACTION,SP ALO-YOGA,Sports and Riding Apparel Stores,Online
"2026/05/05, 13:43:43",$54.57,TRANSACTION,SP ALO-YOGA,Sports and Riding Apparel Stores,Online
"2026/05/05, 13:20:13",$210.79,TRANSACTION,SP ALO-YOGA,Sports and Riding Apparel Stores,Online
"2026/05/05, 08:00:10",$163.24,TRANSACTION,AMAZON MKTPL*BJ2VS5HI0,Book Stores,KeyedIn
"2026/05/05, 08:00:05",$36.28,TRANSACTION,AMAZON MKTPL*BJ43N2HG0,Book Stores,KeyedIn
"2026/05/04, 22:50:28",$54.52,TRANSACTION,SP SHOPSIMON,Miscellaneous General Merchandise,Online
"2026/05/04, 19:32:53",$391.62,TRANSACTION,SP ALO-YOGA,Sports and Riding Apparel Stores,Online
"2026/05/03, 09:53:14",$39.58,TRANSACTION,AMAZON MKTPL*BJ5ED29H1,Book Stores,KeyedIn
"2026/05/03, 09:53:10",$41.90,TRANSACTION,AMAZON MKTPL*BV81O39H2,Book Stores,KeyedIn
"2026/05/03, 03:34:08",$31.02,TRANSACTION,AMAZON MKTPL*BJ85E0KH1,Book Stores,KeyedIn
"2026/05/03, 03:34:04",$109.84,TRANSACTION,AMAZON.COM*BV4CW4KA2,Book Stores,KeyedIn
"2026/05/03, 03:33:56",$80.24,TRANSACTION,AMAZON.COM*BJ8CW9KN1,Book Stores,KeyedIn
"2026/05/03, 03:33:51",$18.09,TRANSACTION,AMAZON MKTPL*BJ2DF7KO1,Book Stores,KeyedIn
"2026/05/03, 03:33:47",$57.76,TRANSACTION,AMAZON MKTPL*BJ0BM03S0,Book Stores,KeyedIn
"2026/05/03, 02:45:22",$35.30,TRANSACTION,AMAZON MKTPL*BJ69X33J0,Book Stores,KeyedIn
"2026/05/02, 23:44:33",$28.93,TRANSACTION,AMAZON MKTPL*BJ3GH6D31,Book Stores,KeyedIn
"2026/05/02, 19:14:13",$131.81,TRANSACTION,AMAZON MKTPL*BV0DX9KG2,Book Stores,KeyedIn
"2026/05/02, 16:25:39",$21.40,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/05/02, 14:44:16",$70.60,TRANSACTION,AMAZON MKTPL*BJ10J12Y1,Book Stores,KeyedIn
"2026/04/30, 23:32:23",$215.61,TRANSACTION,AMAZON MKTPL*BJ2W18IQ1,Book Stores,KeyedIn
"2026/04/30, 23:30:17",$89.82,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/30, 09:13:35",$163.62,TRANSACTION,AMAZON.COM*BS85U8WR0,Book Stores,KeyedIn
"2026/04/30, 08:42:46","-$6,231.43",PAYMENT,Payment,N/A,N/A
"2026/04/29, 08:56:34",$38.39,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/29, 08:53:52",$57.46,TRANSACTION,AMAZON.COM*BS90C0BE0,Book Stores,KeyedIn
"2026/04/29, 08:49:13",$52.05,TRANSACTION,AMAZON MKTPL*BV2EO93T2,Book Stores,KeyedIn
"2026/04/29, 08:45:27",$56.48,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/29, 08:41:13",$144.34,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/29, 08:34:42",$469.82,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/04/29, 08:11:48",$774.68,TRANSACTION,TORY BURCH LLC,Women’s Accessory and Specialty Shops,Online
"2026/04/29, 08:10:30",$77.04,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/28, 16:52:26",$5.55,TRANSACTION,MAKALI,Bakeries,Contactless
"2026/04/28, 12:55:50",$381.99,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/28, 11:33:37",$10.98,TRANSACTION,AMAZON.COM*BS91C0MP0,Book Stores,KeyedIn
"2026/04/28, 11:33:33",$53.49,TRANSACTION,AMAZON.COM*BV1OT2ZZ2,Book Stores,KeyedIn
"2026/04/28, 05:52:24",$606.64,TRANSACTION,AMAZON MKTPL*BS44H6I61,Book Stores,KeyedIn
"2026/04/28, 05:27:32",$267.74,TRANSACTION,"SHEIN US SERVICES, LLC._",Family Clothing Stores,Online
"2026/04/26, 06:13:33",$20.05,TRANSACTION,AMAZON MKTPL*BJ8E31SK2,Book Stores,KeyedIn
"2026/04/26, 06:13:30",$141.64,TRANSACTION,AMAZON MKTPL*BJ4J78S12,Book Stores,KeyedIn
"2026/04/26, 06:13:23",$38.43,TRANSACTION,AMAZON MKTPL*BJ9J76SH2,Book Stores,KeyedIn
"2026/04/26, 06:13:18",$107.82,TRANSACTION,AMAZON MKTPL*BS2XA8BA1,Book Stores,KeyedIn
"2026/04/26, 06:13:13",$147.20,TRANSACTION,AMAZON MKTPL*BS9GY8O70,Book Stores,KeyedIn
"2026/04/25, 16:36:28",$224.70,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/25, 16:36:28",$74.90,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/25, 14:39:50",$224.70,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/04/25, 01:51:32",$436.24,TRANSACTION,AMAZON.COM*BS8JD8KL1,Book Stores,KeyedIn
